VIDEOGAME_ID,NAME,RELEASE_DATE,REQUIRED_AGE,PRICE,POSITIVE_RATINGS,NEGATIVE_RATINGS
365300,Transmissions: Element 120,2016-06-16,0,0,7916,501
365310,Organ Biker,2015-06-01,0,0.79,29,37
365320,Quadrant,2015-05-26,0,3.99,77,37
365330,Jump/Boxer,2015-04-24,0,0.79,37,26
365340,The Way of the Pixelated Fist,2015-04-27,0,0.79,17,16
365350,How to Take Off Your Mask / 貴方の仮面の外し方,2015-07-10,0,9.29,96,15
365360,Battle Brothers,2017-03-24,0,22.99,5181,709
365400,Spoko and Poko,2015-05-11,0,2.79,1,6
365420,Apollo4x,2015-05-05,0,1.69,15,31
365430,Everything is Black and White,2015-04-23,0,1.59,7,4
365440,Platfinity™,2016-05-25,0,5.19,31,14
365450,Hacknet,2015-08-12,0,7.19,13355,1052
365460,CHARIOT WARS,2015-05-25,0,4.99,1,9
365480,Ravenmark: Scourge of Estellion,2015-09-10,0,10.99,45,26
365500,quadrant,2015-05-01,0,3.5,30,4
365510,Flip,2016-02-15,0,0,15,1
365560,Battle of the Bulge,2015-09-17,0,6.99,72,36
365580,Beeswing,2015-05-08,0,3.99,49,3
365590,Tom Clancy’s The Division™,2016-03-07,18,41.99,49832,25607
365620,WarBirds - World War II Combat Aviation,2015-05-05,0,10.99,20,25
365660,OlliOlli2: Welcome to Olliwood,2015-08-11,0,10.99,338,65
365680,BRAWL,2015-08-13,0,10.99,45,20
365730,Gilbert Goodmate and the Mushroom of Phungoria,2015-06-23,0,5.79,7,0
365750,Rugby World Cup 2015,2015-09-04,0,22.99,9,21
365760,Vektor Wars,2015-06-04,0,4.99,39,13
365770,Volume,2015-08-18,0,14.99,453,124
365800,AdvertCity,2015-06-05,0,14.99,51,30
365810,Flying Tigers: Shadows Over China,2017-05-29,0,11.39,525,211
365850,Starchaser: Priestess of the Night Sky,2015-07-24,0,6.99,32,10
365860,Spaceman Sparkles 2,2015-05-20,0,1.99,47,11
365870,Below Kryll,2015-09-07,0,3.99,81,9
365880,Mirrored - Chapter 1,2015-10-30,0,1.59,70,35
365890,Heroes of Normandie,2015-10-01,0,22.99,123,51
365900,Pixel Dungeon,2015-05-29,0,3.99,209,24
365930,STOORM - Full Edition.,2015-08-31,0,2.09,3,7
365960,rFactor 2,2015-11-12,0,25.79,1057,227
365980,Useless Box,2018-10-02,0,0.79,6,8
366000,Rogue System,2016-05-16,0,13.49,154,32
366010,Generic Space Shooter,2016-03-11,0,1.99,26,10
366040,Iggys Egg Adventure,2015-08-27,0,3.99,147,27
366050,Star Balls,2015-08-18,0,3.99,3,1
366060,Teddy Terror,2015-05-21,0,3.99,36,5
366090,Colony Survival,2017-06-16,0,15.49,1783,313
359100,Q.U.B.E. 2,2018-03-13,0,19.99,547,116
359140,Kick Ass Commandos,2016-11-17,0,6.99,361,16
359160,TAKEN,2015-07-07,0,1.59,8,37
359190,Rituals,2015-05-27,0,3.99,138,78
359220,MX vs. ATV Unleashed,2015-04-16,0,8.99,181,88
359230,Lethis - Path of Progress,2015-06-25,0,14.99,571,250
359250,City of Fools,2015-07-10,0,5.59,47,20
359260,Green Moon,2015-05-15,0,4.99,15,9
359280,Heroes of Loot,2015-05-25,0,3.99,48,24
359300,Death Pirate,2015-06-08,0,2.79,2,6
359310,Evoland 2,2015-08-25,0,14.99,2887,428
359320,Elite Dangerous,2015-04-02,0,19.99,26143,11006
