GENRE_ID,VIDEOGAME_ID
1,520210
1,551960
1,803010
1,849690
1,934710
1,982860
2,10
2,20
2,30
2,40
2,50
2,60
2,70
2,80
2,130
2,220
2,240
2,280
2,300
2,320
2,340
2,360
2,380
2,400
2,420
2,440
2,500
2,550
2,570
2,620
2,630
2,730
2,1200
2,1250
2,1300
2,2100
2,2200
2,2210
2,2270
2,2280
2,2290
2,2300
2,2310
2,2320
2,2330
2,2340
2,2350
2,2360
2,2370
2,2390
2,2400
2,2450
2,2500
2,2590
2,2600
2,2610
2,2620
2,2630
2,2640
2,2710
2,2720
2,2780
2,2820
2,2870
2,3020
2,3270
2,3620
2,3700
2,3710
2,3730
2,3800
2,3810
2,3820
2,3830
2,4300
2,4500
2,4520
2,4530
2,4560
2,4720
2,4920
2,6000
2,6020
2,6030
2,6060
2,6080
2,6090
2,6120
2,6250
2,6310
2,6370
2,6400
2,6510
2,6550
2,6800
2,6810
2,6830
2,6840
2,6850
2,6860
2,6870
2,6880
2,6900
2,6910
2,6920
2,6980
2,7000
2,7010
2,7020
2,7510
2,7860
2,7940
2,8000
2,8080
2,8100
2,8140
2,8170
2,8190
2,8500
2,8870
2,9000
2,9010
2,9030
2,9040
2,9050
2,9060
2,9160
2,9180
2,9200
2,9340
2,9460
2,9480
2,9710
2,9760
2,9800
2,9940
2,9970
2,10090
2,10120
2,10130
2,10150
2,10180
2,10220
2,10460
2,10680
2,11200
2,11240
2,11280
2,11340
2,12100
2,12110
2,12120
2,12130
2,12140
2,12150
2,12170
2,12180
2,12200
2,12210
2,12220
2,12320
2,12330
2,12390
2,12530
2,12790
2,12830
2,13140
2,13200
2,13210
2,13230
2,13240
2,13250
2,13500
2,13520
2,13530
2,13540
2,13560
2,13570
2,13580
2,13600
2,13620
2,15000
2,15080
2,15100
2,15120
2,15130
2,15190
2,15270
2,15300
2,15390
2,15520
2,15560
2,15740
2,15750
2,16450
2,16710
2,16720
2,16730
2,16900
2,17080
2,17300
2,17330
2,17410
2,17430
2,17460
2,17470
2,17500
2,17570
2,17710
2,17740
2,18040
2,18050
2,18070
2,18120
2,18700
2,18820
2,19030
2,19080
2,19200
2,19320
2,19800
2,19830
2,19900
2,19980
2,20510
2,20530
2,20550
2,20700
2,20710
2,20820
2,20900
2,21000
2,21010
2,21030
2,21090
2,21100
2,21130
2,21400
2,21660
2,21670
2,21680
2,21690
2,21980
2,22120
2,22180
2,22200
2,22230
2,22310
2,22350
2,22380
2,22450
2,22610
2,22650
2,22670
2,23460
2,23530
2,24200
2,24240
2,24720
2,24840
2,24960
2,25000
2,25010
2,26000
2,26300
2,27330
2,27900
2,27920
2,27940
2,28000
2,29800
2,29900
2,31300
2,31890
2,32200
2,32330
2,32350
2,32380
2,32390
2,32400
2,32420
2,32430
2,32500
2,32510
2,32610
2,32620
2,32630
2,32640
2,32650
2,32660
2,32670
2,32680
2,32750
2,32770
2,33100
2,33110
2,33120
2,33130
2,33180
2,33230
2,33320
2,33390
2,33620
2,33900
2,33930
2,33980
2,34010
2,34410
2,34810
2,34830
2,34870
2,34920
2,35000
2,35130
2,35140
2,35310
2,35450
2,35460
2,35700
2,35720
2,36000
2,36900
2,36910
2,37000
2,37010
2,37100
2,37700
2,38430
2,38450
2,38460
2,38490
2,38740
2,39500
2,39510
2,39540
2,39560
2,39630
2,39640
2,39670
2,39800
2,39900
2,40500
2,40990
2,41000
2,41070
2,41100
2,41300
2,41400
2,41600
2,41660
2,41700
2,41740
2,41900
2,42120
2,42170
2,42500
2,42670
