TAG_ID,VIDEOGAME_ID
1,12110
1,233270
1,433910
1,502750
1,556050
1,789210
2,328430
2,329630
2,358210
2,358370
2,502750
2,559640
2,844590
3,823840
4,15710
4,22600
4,205230
4,207490
4,218820
4,219830
4,223730
4,255870
4,262920
4,269650
4,275390
4,280520
4,315450
4,322210
4,330420
4,336240
4,339690
4,340220
4,340540
4,363790
4,366250
4,366260
4,373600
4,377570
4,380840
4,385380
4,388420
4,408240
4,408280
4,414190
4,428490
4,434410
4,438030
4,439880
4,458500
4,465020
4,465130
4,465870
4,468150
4,473780
4,487160
4,488220
4,492800
4,509160
4,511920
4,518730
4,524250
4,527380
4,530510
4,533170
4,536890
4,560260
4,563260
4,569360
4,577320
4,578420
4,582280
4,584400
4,587840
4,588100
4,590590
4,591640
4,596630
4,597090
4,598840
4,601810
4,612160
4,628850
4,631830
4,642520
4,642580
4,647820
4,652610
4,662690
4,662730
4,663920
4,664510
4,665780
4,666760
4,667760
4,673660
4,686200
4,699920
4,701440
4,702820
4,703600
4,713680
4,716630
4,720630
4,725680
4,732770
4,743900
4,749830
4,750620
4,753380
4,756320
4,758930
4,765060
4,768310
4,768880
4,771240
4,774711
4,777880
4,778330
4,780800
4,781930
4,783330
4,788630
4,792060
4,795040
4,795570
4,798960
4,807140
4,807890
4,808950
4,814650
4,816380
4,823710
4,823740
4,829260
4,833260
4,840440
4,842770
4,848300
4,851000
4,851100
4,854650
4,859460
4,865060
4,865240
4,869030
4,874080
4,875360
4,875520
4,885390
4,887300
4,917200
4,924900
4,938170
4,942600
4,946200
4,948240
4,949770
4,950130
4,952680
4,953340
4,958090
4,960820
4,961660
4,964750
4,966010
4,969480
4,972850
4,975680
4,975980
4,983890
4,985800
4,999250
4,1012280
4,1013600
4,1017610
4,1031540
4,1048080
5,222940
5,244730
5,245170
5,261180
5,262150
5,263300
5,267900
5,294810
5,314030
5,348550
5,356910
5,357190
5,366240
5,370460
5,376300
5,383980
5,388750
5,411370
5,449210
5,452420
5,452510
5,455830
5,465840
5,520440
5,536560
5,550340
5,565170
5,586140
5,586200
5,598450
5,598880
5,619480
5,682270
5,702120
5,702890
5,713070
5,716710
5,795510
5,801630
5,871200
5,873370
6,457670
6,811800
6,837380
7,404790
7,502570
7,860580
8,239720
8,253230
8,268320
8,318660
8,329440
8,360830
8,401810
8,406150
8,409520
8,411960
8,411970
8,452540
8,457210
8,512300
8,516500
8,529580
8,544330
8,545980
8,568040
8,575630
8,588540
8,629420
8,670350
8,701900
8,726710
8,727970
8,731490
8,760510
8,778080
8,780500
8,789110
8,790120
8,793360
8,811270
8,811870
8,847360
8,857710
8,898680
8,938850
8,940320
8,979260
8,1049930
9,728710
10,338040
10,345990
10,352620
10,354620
10,367260
10,368690
10,371880
10,383530
10,386750
10,391210
10,396010
10,404050
10,405720
10,409630
10,413500
10,419020
10,422590
10,429690
10,430190
10,437340
10,459350
10,470140
10,500790
10,504090
10,513840
10,522740
10,572480
10,573600
10,619470
10,630160
10,652360
10,652810
10,661220
10,666320
10,686040
10,701280
10,725120
10,745790
10,776790
10,820950
10,839010
10,867390
10,868180
10,897940
11,1610
11,1690
11,3990
11,8800
11,42890
11,42990
11,201290
11,202200
11,208140
11,214150
11,220660
11,229970
11,236130
11,241000
11,246940
11,261470
11,282590
11,287580
11,289130
11,322540
11,340210
11,340920
11,365240
11,382880
11,397870
11,410980
11,410990
11,418250
11,427570
11,464880
11,490370
11,573790
11,585820
11,718560
11,783210
11,889080
11,944640
12,227800
12,273570
12,273580
12,273590
12,448850
12,450220
12,803850
13,330470
13,381890
13,657530
13,751220
13,1003490
14,10
14,20
14,40
14,50
14,60
14,70
14,80
14,130
14,220
14,240
14,280
14,320
14,340
14,360
14,380
14,420
14,630
14,1200
14,1300
14,2100
14,2200
14,2210
14,2270
14,2280
14,2290
14,2300
14,2310
14,2320
14,2330
14,2340
14,2350
14,2360
14,2370
14,2390
14,2400
14,2450
14,2500
14,2590
14,2610
14,2620
14,2630
14,2640
14,2710
14,2720
14,2780
14,3020
14,3270
14,3410
14,3620
14,3700
14,3710
14,3730
14,3800
14,3810
14,3820
14,4300
14,4520
14,4530
14,4720
14,6000
14,6020
14,6030
14,6060
14,6080
14,6090
14,6120
14,6250
14,6370
14,6400
14,6510
14,6550
14,6800
14,6810
14,6840
14,6850
14,6860
14,6870
14,6880
14,6900
14,6920
14,6980
14,7000
14,7010
14,7020
14,7260
14,7510
14,7770
14,7840
14,7860
14,7940
14,8000
14,8080
14,8100
14,8140
14,8170
14,8190
14,8870
14,9000
14,9010
14,9030
14,9040
14,9050
14,9060
14,9160
14,9180
14,9200
14,9340
14,9460
14,9480
14,9710
14,9760
14,9800
14,9970
14,10120
14,10130
14,10150
14,10180
14,10220
14,10460
14,10680
14,11200
14,11240
14,11280
14,11340
14,12100
14,12110
14,12120
14,12140
14,12150
14,12170
14,12180
14,12200
14,12210
14,12220
14,12320
14,12330
14,12390
14,12530
14,12710
14,12770
14,12790
14,12830
14,13140
14,13200
14,13210
14,13230
14,13240
14,13250
14,13500
14,13520
14,13530
14,13540
14,13560
14,13570
14,13580
14,13600
14,13620
14,15000
14,15080
14,15100
14,15120
14,15130
14,15190
14,15270
14,15300
14,15390
14,15500
14,15520
14,15560
14,15740
14,15750
14,16450
14,16710
14,16720
14,16730
14,17080
14,17300
14,17330
14,17410
14,17470
14,17570
14,17710
14,17740
14,18040
14,18050
14,18070
14,18820
14,19030
14,19080
14,19200
14,19320
14,19800
14,19830
14,19900
14,19980
14,20530
14,20550
14,20700
14,20710
14,21000
14,21010
14,21030
14,21090
14,21130
14,21400
14,21660
14,21670
14,21680
14,21690
14,21780
14,21980
14,22200
14,22310
14,22350
14,22450
14,22610
14,22650
14,22670
14,23530
14,24240
14,24720
14,24840
14,24960
14,25000
14,25010
14,25700
14,26300
14,27330
14,27900
14,27920
14,27940
14,28000
14,29800
14,29900
14,31300
14,31890
14,32200
14,32330
14,32350
14,32380
14,32390
14,32400
14,32420
14,32430
14,32450
14,32500
14,32510
14,32610
14,32620
14,32630
14,32640
14,32650
14,32660
14,32670
14,32680
14,32750
14,32770
14,33100
14,33110
14,33120
14,33130
14,33180
14,33230
14,33320
14,33390
14,33620
14,33900
14,33930
14,33980
14,34010
14,34410
14,34810
14,34830
14,34870
14,34920
14,35000
14,35130
14,35140
14,35310
14,35320
14,35460
14,36000
14,36900
14,36910
14,37010
14,37100
14,37700
14,38430
14,38450
14,38460
14,38490
14,38740
14,39540
14,39560
14,39630
14,39640
14,39670
14,39800
14,39900
14,40380
14,40500
14,40990
14,41000
14,41070
14,41100
14,41300
14,41400
14,41600
14,41660
14,41740
14,42120
14,42500
14,42670
14,42700
14,42910
14,43000
14,43190
14,44100
14,45700
14,45710
14,45720
14,45730
14,45740
14,45750
14,45770
14,46200
14,46250
14,46400
14,46410
14,46520
14,46540
14,46600
14,47110
14,47120
14,47780
14,47790
14,48190
14,48720
14,49800
14,49900
14,50130
14,50300
14,50510
14,55100
14,55110
14,55150
14,55230
14,57000
14,57680
14,57700
14,57900
14,60340
14,60600
14,62000
14,63200
14,65560
14,65600
14,65740
14,65780
14,65790
14,65930
14,67000
14,67370
14,70000
14,70420
14,70500
14,71230
14,71260
14,71340
14,80000
14,91330
14,91900
14,92000
14,92300
14,92600
14,92700
14,94400
14,95000
14,95300
14,95900
14,96200
14,96800
14,96900
14,97100
14,98400
14,98500
14,98900
14,99100
14,99120
14,99300
14,99400
14,99410
14,102400
14,102600
14,102810
14,102840
14,102850
14,104100
14,104900
14,105420
14,105700
14,107100
14,107200
14,107600
14,108700
14,108710
14,108800
14,109500
14,110500
14,110600
14,110610
14,110630
14,111400
14,111600
14,113400
14,115120
14,115320
14,200020
14,200260
14,200410
14,201070
14,201480
14,201570
14,201790
14,201810
14,201870
14,202370
14,202410
14,202730
14,202750
14,202970
14,203140
14,203160
14,203210
14,203290
14,203750
14,203990
14,204030
14,204100
14,204340
14,204360
14,204390
14,204530
14,204560
14,204580
14,204630
14,204760
14,204860
14,205060
14,205070
14,205080
14,205090
14,205100
14,205230
14,205550
14,205830
14,205950
14,206210
14,206230
14,206250
14,206370
14,206420
14,207000
14,207190
14,207230
14,207320
14,207530
14,207650
14,207730
14,207750
14,207930
14,208200
14,208460
14,208650
14,208670
14,208710
14,208730
14,208750
14,209000
14,209100
14,209120
14,209160
14,209330
14,209360
14,209540
14,209650
14,209670
14,209730
14,209750
14,210950
14,211010
14,211160
14,211280
14,211780
14,212010
14,212030
14,212070
14,212110
14,212160
14,212630
14,212700
14,213330
14,213350
14,213610
14,214250
14,214570
14,214590
14,214630
14,214770
14,214830
14,214870
14,214910
14,214970
14,215390
14,215470
14,215510
14,215550
14,215630
14,215690
14,216110
14,216910
14,217140
14,217270
14,217290
14,217920
14,218620
14,218660
14,218820
14,219070
14,219150
14,219190
14,219200
14,219640
14,219830
14,220160
14,220240
14,220440
14,220460
14,220820
14,220900
14,221040
14,222180
14,222420
14,222440
14,222480
14,222500
14,222980
14,223100
14,223220
14,223430
14,223450
14,223470
14,223810
14,224040
14,224300
14,224600
14,224820
14,224900
14,224920
14,224940
14,224960
14,224980
14,225000
14,225020
14,225160
14,225260
14,225280
14,225300
14,225320
14,225360
14,225540
14,225600
14,226720
14,227100
14,227220
14,227380
14,227560
14,227780
14,227800
14,228300
14,228320
14,229480
14,229810
14,229870
14,229890
