DEVELOPER_ID,VIDEOGAME_ID
1,881910
2,595280
3,1002560
4,927580
5,459830
6,349510
7,845840
8,553830
9,33670
9,200670
10,647050
11,310360
11,406550
11,410890
11,472870
11,526490
11,550340
11,577480
11,639490
11,668350
12,462620
13,434140
14,819870
14,870110
14,1041760
15,565490
16,454250
17,553570
17,944730
18,488350
18,527160
19,709790
20,657020
21,286360
21,378630
22,262830
22,370550
22,394290
22,428750
22,460220
22,525450
22,550440
22,550450
22,567660
22,625910
22,626580
22,636100
22,654050
22,790850
23,333990
24,91200
24,236730
24,251530
24,252170
24,282070
24,294750
24,323190
25,810660
26,586660
27,407830
28,775310
29,886200
30,849320
30,868190
30,908950
31,355630
32,464650
32,838010
33,391400
34,671700
35,355380
35,517300
36,38420
37,453950
37,908000
38,671560
39,923400
40,428950
40,473560
41,228960
41,300580
42,448610
42,588630
43,454230
44,511790
45,821560
46,544810
47,389250
48,3130
48,25900
48,46290
48,46340
48,46360
48,63940
48,63960
48,289360
48,289380
48,289420
49,307960
50,336760
50,336770
50,336780
51,200230
52,203350
52,204860
52,289520
53,15320
53,754530
54,25850
54,25980
54,42930
54,42940
54,42950
55,425340
56,915430
57,792080
58,694870
59,464000
59,464020
60,392100
61,497400
62,487000
63,368570
64,576670
65,663690
65,760400
66,307150
67,411330
68,428440
69,760530
69,1021680
70,740500
71,501020
72,422420
72,584370
73,782630
74,327010
75,636490
76,713030
77,394430
78,603450
79,580060
80,570500
81,437340
82,431540
83,22000
84,425160
84,464530
85,257120
85,414810
86,11360
87,822550
88,487420
89,739890
90,620700
91,614150
92,261640
92,409710
92,409720
93,409710
94,409720
95,50130
96,65930
96,409720
97,502380
98,257750
98,579840
99,315060
99,340200
100,623090
101,370540
101,644710
102,890930
103,287860
103,390910
103,968300
104,924540
105,594050
106,682080
107,218090
108,567320
108,674440
109,499900
110,455830
111,585290
112,207250
112,228440
112,250560
112,455400
112,593070
113,292380
114,592660
115,36900
115,36910
115,267220
115,285670
115,345580
116,798830
117,444440
118,657560
119,384960
120,277430
120,324570
120,459220
121,402390
121,467570
121,517710
121,772480
121,859440
122,102500
123,398260
124,861160
125,420360
126,943010
126,978910
126,978970
127,591990
128,358390
129,358210
129,358230
129,358250
129,358260
129,358300
129,358320
129,358350
129,358410
130,1028170
131,449510
132,673190
132,899390
133,417480
133,428830
133,431300
133,486120
133,556990
133,648340
133,677230
134,612050
135,438450
136,95900
136,214910
136,386400
136,423490
136,784150
137,665640
138,492200
139,895990
140,823550
141,883870
142,706490
143,270570
143,281060
144,716000
145,690620
146,574940
147,703730
148,433490
149,623930
150,788270
151,413480
152,622150
152,748580
153,543600
153,576100
153,602010
154,966240
155,39650
155,39660
156,353130
156,518110
156,577290
157,340960
158,648260
159,918990
160,286660
161,27200
162,996550
163,286690
163,287390
164,424610
165,348280
165,693700
166,857600
167,401510
168,592130
169,398620
170,589770
171,779990
172,39520
173,18480
174,770830
175,402910
176,407700
177,319430
178,770020
179,299340
180,60700
181,435360
182,284460
183,268870
184,528960
185,236010
186,683910
187,559280
188,432020
188,470600
188,605500
188,633370
189,620360
189,736720
190,544580
191,522880
191,541450
191,548810
191,778390
191,778400
192,218680
192,249870
193,599060
194,822870
194,914680
195,699170
196,884350
197,583660
198,981910
199,682020
199,832710
200,510180
201,635270
202,829260
203,529610
204,503160
205,467220
205,496990
205,680450
206,451230
207,360880
208,356170
209,663730
210,214610
210,333220
210,459540
210,518280
211,244050
211,307960
212,473740
212,555310
213,551500
214,498680
215,977950
216,508580
217,597020
218,70000
219,922080
219,1017080
220,252070
221,306620
221,312400
222,402220
222,462110
223,384090
224,361850
224,396850
225,604830
226,1036990
227,462530
227,608000
228,37700
229,260270
230,571050
230,614700
230,627070
231,599840
232,801150
233,907270
234,695510
235,814190
236,533280
237,862580
237,952250
238,734570
239,1028860
240,568440
241,251170
241,291270
242,296070
242,464440
243,747990
244,590770
245,558660
246,605250
247,693330
248,233980
248,463270
248,586880
249,468780
250,409170
251,378660
251,383750
251,389970
252,263960
252,274350
253,655660
254,683080
255,809340
255,1020600
255,1034160
255,1054930
256,352220
257,484390
258,356250
259,577280
259,876900
260,553050
261,683210
262,563430
263,1019940
264,805260
265,801340
266,403660
267,718980
268,801380
269,568570
270,790700
271,826810
272,430230
272,634070
272,894340
273,293480
274,839530
275,789540
276,699370
277,827460
278,592990
279,365810
280,22200
280,22230
280,215690
280,255070
280,353700
280,434460
281,206230
281,312780
281,333980
281,427510
282,1040000
283,693810
284,617700
285,738020
285,817410
285,895850
286,513990
286,544790
287,801020
287,828150
287,843890
287,857010
287,862300
287,863980
287,867140
287,896570
287,909480
287,912190
287,946800
287,979970
287,991860
287,1006720
287,1023570
287,1041890
287,1059500
288,765290
289,740110
290,809580
291,563160
292,499420
293,368990
294,476650
295,348650
296,398120
297,384030
298,326840
299,326360
300,738560
300,779090
301,403850
301,457810
301,630140
302,778110
303,692780
304,448560
305,923130
306,494990
307,377670
308,783120
308,1025070
309,1044920
310,386340
311,924560
312,689030
312,1033230
313,502910
313,601340
313,767100
314,772470
314,856980
315,286260
315,344770
315,753220
316,990750
317,261920
318,289500
319,523960
320,908440
321,317920
322,494290
323,690400
323,693950
323,750670
323,751300
323,751380
323,1017240
323,1017270
324,536630
325,208140
325,249050
325,289130
325,392110
325,949060
326,544520
327,987660
328,564710
329,913450
330,605180
331,851790
332,514340
333,697930
333,731230
334,604630
335,536410
336,376120
337,840610
338,375870
339,762130
340,722910
341,710470
342,680250
343,869660
343,934810
344,931500
345,607890
346,638650
347,931490
348,545930
349,785780
349,848960
350,751500
351,763050
351,785840
352,732090
352,781610
352,798560
352,823770
352,829080
352,859610
352,894010
352,916630
352,916640
352,992890
353,871200
354,748270
354,765570
355,536690
355,851880
356,249930
356,278550
356,335420
356,338070
356,338080
356,338090
356,338100
356,492090
356,532690
357,607880
358,402060
358,808090
358,809240
359,442890
359,676910
360,978380
361,577530
362,652360
363,381590
363,853200
364,393540
365,522050
366,215790
367,873370
368,203990
368,278930
368,349680
368,349690
368,404100
368,437020
368,448160
368,564040
369,657010
369,753060
369,862520
370,893180
371,734920
371,833910
371,874230
372,500340
372,501410
372,502530
372,700140
373,771920
374,826460
375,355570
376,693400
377,929230
378,420670
379,672790
380,91330
381,343140
382,659100
382,689060
382,740100
383,1016730
384,409600
385,488280
385,588690
386,756220
387,259810
387,735580
388,615910
389,895170
390,354770
391,528580
392,656630
393,955640
394,681360
395,485110
396,406730
397,411860
398,616690
399,738130
400,253670
401,293960
401,436690
402,538990
403,222730
403,296970
404,493110
405,551570
405,788520
406,794940
406,956010
407,869550
408,585180
409,351230
410,859820
411,441790
412,412730
413,397060
414,661100
415,543430
416,374280
417,37310
417,359250
417,359260
417,464800
417,486170
417,486460
417,491020
417,500150
418,360450
418,606300
419,628700
420,692710
421,459910
422,893030
423,624630
423,883960
424,242530
424,252350
424,281200
424,281220
424,413410
424,413420
424,423950
424,571260
424,648580
424,664850
424,794580
425,533180
426,628800
427,608530
428,449100
429,982270
430,1004200
431,862790
432,675360
433,300400
433,446620
434,568800
435,358090
436,302330
436,302340
436,302350
436,302360
436,302370
437,941320
438,523210
438,689910
439,582260
440,251770
441,328450
441,426630
442,329640
443,328440
443,328460
443,328470
444,828860
445,513140
446,828070
446,887530
446,907210
446,1013870
447,362310
448,816260
448,848650
449,563180
449,739180
450,507030
451,297130
452,817230
453,274520
454,344130
455,866440
456,459080
457,454260
458,734870
459,517060
460,322630
460,450250
461,943410
462,867390
463,632070
464,757670
465,650750
466,92900
466,236790
466,252910
466,259890
466,259910
466,291930
467,277390
468,724710
469,897390
469,906020
469,935460
469,970690
470,697650
470,774811
471,569220
471,570680
471,572050
471,585240
472,721030
473,467470
474,1034740
475,552340
476,828520
477,802020
478,715310
479,455710
479,562240
479,585860
479,646100
480,827770
481,670090
482,685130
483,391740
483,473450
483,618360
484,566200
485,691750
486,365120
487,286140
488,864020
489,672320
490,303940
491,303590
492,385690
492,657530
493,600150
493,730710
494,447000
495,746110
496,772420
497,566940
497,1069460
498,428210
498,726160
499,403230
500,1014600
501,595280
502,513620
503,691910
504,773440
505,435400
506,1014350
507,820170
508,387240
508,600440
509,482300
509,643820
510,296030
511,416070
511,870590
512,854950
513,856540
513,894420
513,1013650
514,331210
515,285440
516,674150
516,678760
517,288120
518,329200
519,463430
519,681520
520,816930
521,431630
522,377940
523,708340
524,719200
525,637330
526,1020020
527,857240
528,958680
529,336030
529,649810
529,899200
529,916130
530,606920
531,734120
532,917200
533,672880
534,449240
535,785560
536,713160
537,569420
538,923260
539,455480
540,593900
541,624780
541,655020
542,376210
543,457490
543,563520
543,588050
543,662260
543,726520
544,726800
544,805940
544,967250
545,471710
546,619890
547,785850
548,792860
548,887340
549,717670
550,754340
551,73190
551,292760
551,306630
551,312360
551,313660
551,374380
551,459470
551,477750
551,867250
552,654010
553,563750
553,695560
553,866400
554,259510
555,673220
556,569380
557,873040
557,887280
557,908090
558,936210
559,880180
560,918880
561,997560
562,913550
563,814660
564,964070
565,725320
566,589640
567,647740
568,725780
569,451020
570,45710
570,200010
570,233290
571,482120
572,443570
573,508710
574,465020
575,729030
576,939400
577,403570
577,473710
577,766920
578,947430
579,849920
579,917610
580,10270
580,33670
580,200670
580,764670
580,817460
580,937940
581,821120
582,543050
583,789740
583,908990
584,1010480
585,1031660
586,915710
587,511120
587,711480
587,846020
588,643200
589,345230
590,395520
591,725020
592,652390
592,685040
593,644660
593,656620
593,657410
594,819060
595,582890
596,290260
596,316610
596,583270
597,278440
597,572890
598,927970
599,740790
600,317320
601,278890
601,428460
602,38120
602,38130
602,38140
602,38150
602,38160
602,286520
602,302490
602,306200
603,343390
604,296220
604,296240
604,301150
604,320690
