CATEGORY_ID,VIDEOGAME_ID
1,220
1,380
1,400
1,420
1,440
1,500
1,550
1,620
1,630
1,2800
1,2810
1,2820
1,2870
1,4000
1,22120
1,22180
1,33900
1,33930
1,57300
1,65730
1,65740
1,96100
1,107410
1,115120
1,206190
1,207080
1,208750
1,210970
1,221380
1,221540
1,221910
1,223100
1,223430
1,223750
1,224040
1,224260
1,226720
1,226740
1,227060
1,228280
1,228960
1,230190
1,230840
1,232430
1,233130
1,233350
1,233610
1,235320
1,235540
1,237950
1,237990
1,238010
1,238320
1,239200
1,240760
1,242530
1,242720
1,242780
1,242840
1,246110
1,247080
1,247950
1,249230
1,250720
1,251110
1,251130
1,251370
1,251490
1,252010
1,253230
1,253330
1,254700
1,257350
1,257690
1,258010
1,258950
1,260160
1,261490
1,262000
1,262150
1,262210
1,263140
1,264000
1,264160
1,264520
1,264560
1,265550
1,265590
1,268050
1,268650
1,268970
1,269650
1,270310
1,273030
1,273110
1,274290
1,274940
1,274980
1,278100
1,279440
1,280160
1,281640
1,282880
1,283880
1,284390
1,287700
1,288040
1,288060
1,288220
1,288930
1,290650
1,292400
1,292600
1,293260
1,293440
1,293980
1,295690
1,296630
1,296870
1,297590
1,297720
1,299090
1,299540
1,300380
1,300570
1,300580
1,302570
1,302690
1,303210
1,303260
1,304290
1,304530
1,307210
1,308040
1,308173
1,308360
1,311870
1,312230
1,312300
1,313590
1,313630
1,314280
1,314330
1,316890
1,317100
1,317250
1,317840
1,317940
1,318310
1,318330
1,319970
1,320040
1,322680
1,324710
1,325730
1,327450
1,327510
1,328550
1,328760
1,331190
1,331210
1,331360
1,331480
1,331760
1,332950
1,336710
1,336730
1,337820
1,338110
1,338190
1,338310
1,339160
1,339350
1,339510
1,340000
1,340500
1,341750
1,342240
1,342540
1,343100
1,343370
1,344890
1,346330
1,347440
1,350200
1,350800
1,351170
1,351320
1,351330
1,351940
1,352360
1,352580
1,353540
1,353550
1,355970
1,356000
1,356800
1,357690
1,357890
1,358830
1,359040
1,362890
1,364830
1,365210
1,365300
1,365420
1,365450
1,365810
1,368760
1,369700
1,370440
1,371100
1,371140
1,371320
1,373140
1,373420
1,374030
1,374050
1,374510
1,375130
1,375550
1,376410
1,377470
1,378930
1,380140
1,380150
1,381120
1,381170
1,383150
1,383180
1,383240
1,384630
1,385360
1,385370
1,385560
1,386520
1,386690
1,387070
1,388320
1,388440
1,388880
1,389050
1,389650
1,390520
1,390720
1,391260
1,391340
1,391390
1,393200
1,393750
1,394310
1,395570
1,396090
1,396230
1,396310
1,397500
1,397780
1,397870
1,399130
1,399780
1,402530
1,405010
1,406170
1,406650
1,407230
1,407300
1,407560
1,407880
1,408650
1,409160
1,409320
1,409370
1,409440
1,410910
1,411570
1,412230
1,414330
1,414530
1,415890
1,416640
1,417880
1,418300
1,418340
1,419700
1,420670
1,421630
1,422010
1,422250
1,423120
1,423320
1,423440
1,426290
1,426310
1,426330
1,427930
1,428020
1,428040
1,428220
1,428800
1,434130
1,434490
1,435000
1,435150
1,435460
1,435530
1,437170
1,438000
1,439310
1,439750
1,439770
1,440420
1,443450
1,443830
1,444140
1,444220
1,444350
1,446310
1,446330
1,448850
1,449000
1,449960
1,451600
1,452120
1,452540
1,452570
1,456180
1,457210
1,457530
1,457570
1,457860
1,458450
1,459220
1,459310
1,459940
1,460140
1,460430
1,461640
1,461650
1,461700
1,462770
1,463320
1,463440
1,464110
1,464360
1,464380
1,464950
1,466300
1,466430
1,467380
1,468050
1,468310
1,469820
1,470020
1,472420
1,476490
1,485360
1,485460
1,488460
1,488960
1,489070
1,489610
1,492220
1,492370
1,494600
1,496480
1,498460
1,499960
1,502200
1,509000
1,509210
1,509530
1,509620
1,509910
1,511250
1,511490
1,511700
1,511750
1,512000
1,512060
1,512790
1,513190
1,513370
1,515000
1,515020
1,516580
1,516920
1,517210
1,517240
1,520150
1,520600
1,521920
1,524520
1,524540
1,524560
1,525690
1,526160
1,529590
1,529760
1,530330
1,532030
1,534290
1,534960
1,537450
1,540660
1,541350
1,542030
1,542170
1,543070
1,543900
1,543980
1,545850
1,546800
1,547990
1,548280
1,549260
1,552520
1,552720
1,552880
1,553340
1,553800
1,554810
1,556260
1,556740
1,557700
1,558410
1,563250
1,563560
1,563810
1,565980
1,566170
1,566910
1,567170
1,568340
1,568460
1,568610
1,568830
1,569340
1,569490
1,569860
1,570420
1,575710
1,577360
1,580200
1,580520
1,582160
1,582270
1,582620
1,585220
1,585990
1,587570
1,591630
1,592200
1,592620
1,594050
1,594660
1,595080
1,595140
1,596540
1,596890
1,596910
1,597170
1,597210
1,600350
1,601010
1,603750
1,603870
1,606330
1,606710
1,609760
1,610680
1,611050
1,611750
